date,ci,weather_dummy,wind,aqi,life_impact,is_holiday_near,is_holiday_mid,is_nonwork_weekend,is_holiday_day_or_window,is_bad_weather,is_aqi_high,test_fold_1,test_fold_2,test_fold_3,test_fold_4,test_fold_5,test_fold_6,test_fold_7,test_fold_8,test_fold_9,test_fold_10
2017-04-06,66.07644702112383,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-07,61.27240536365781,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-08,57.70568003694775,1,1,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-09,61.21543917379915,2,4,30,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-10,59.20493385929517,2,5,29,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-11,68.70823147975268,2,1,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-12,56.57796344464179,2,1,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-13,55.08833771024529,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-14,63.128326370601975,1,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-15,54.33408396726038,1,1,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-16,52.17354094322312,1,1,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-17,64.61565206139032,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-18,68.7153455673363,2,1,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-19,74.25711275053469,2,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-20,83.0347734459111,2,1,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-21,74.69727685452209,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-22,80.5268703900893,2,1,53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-23,73.19090894459104,2,4,61,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-24,63.94211379300264,2,1,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-25,64.36799623415587,2,1,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-26,63.93494621622924,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-27,65.43414654938687,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-28,66.58336587201305,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-29,60.40159826220868,1,1,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-30,61.42474311679926,1,1,39,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,61.24630254612131,1,1,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-02,67.60651072660363,1,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-03,75.36354056927964,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-04,71.59435793968125,2,1,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-05,63.35677951112435,2,1,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-06,60.76800051313592,2,1,81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-07,48.918551721189786,2,1,41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-08,44.97825656677907,2,1,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-09,61.6221724174301,2,1,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-10,67.80864709283034,2,1,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-11,68.96990152539519,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-12,69.26494894372716,2,1,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-13,64.83672366838013,2,1,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-14,76.69114697187112,2,1,46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-15,70.87096756901852,2,1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-16,64.45379319867752,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17,65.50539440360255,1,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18,63.37822875225477,2,1,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-19,72.66510834212855,2,1,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-20,66.55710258690716,2,1,36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-21,65.5102619367678,2,5,31,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-22,61.92925494570074,2,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-23,59.4950602552721,2,1,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-24,57.53906061944928,2,1,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-05-25,58.69796151921617,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-07,61.43201767195225,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-08,65.87431065489712,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-09,62.8286253758639,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-10,63.21412333512362,1,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-11,56.20434012775135,1,1,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-12,41.60655351871213,2,1,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-13,59.43317304305838,2,5,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-14,64.08487694738298,2,1,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-15,57.52969997744732,2,1,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-16,52.90645242345718,2,1,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-17,64.52022700891774,2,1,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-18,62.31929950298696,2,4,22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-19,60.35153220317444,2,1,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-20,57.81506581863858,2,2,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-21,60.822720148576224,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-22,57.0704936527944,2,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-23,65.10577524755521,2,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-24,52.482923515101895,2,1,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-25,41.247318844558286,2,4,22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-26,46.25841789060608,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-27,52.47821644950604,2,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-28,50.60560675621713,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-29,51.78574294035525,2,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-30,63.42824132209919,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,51.278931067845626,1,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02,58.883462688287935,2,1,22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-03,61.93620856571496,2,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-04,63.12591934861423,2,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-05,63.028408209292685,2,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-06,63.47327938039879,2,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-07,66.50243644065664,2,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-08,58.91914010458558,2,1,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-09,60.08515509193607,2,2,22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-10,59.10250169761857,2,2,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-11,55.00746176807868,2,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-12,66.42621407489612,2,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-13,67.28996057795145,2,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-14,60.98693254408696,2,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-15,57.95793595139849,2,1,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-07-16,69.76930030505926,2,4,16,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-07,66.98319898481957,2,1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-08,59.96630168986369,2,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-09,62.50036105241181,2,1,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-10,58.64329537296565,2,1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-11,66.96891732046255,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-12,63.661508506597045,1,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-13,57.5154718022801,1,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-14,51.07198065764344,1,3,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-15,64.0089220275714,2,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-16,60.703813257314046,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-17,62.56214128624594,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-18,56.30420479987084,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-19,57.81752632981612,1,1,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-20,51.85945130574846,1,1,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
